W001 W002 W003 W004 W005 W006 W007 W008 W009 W010 W011 W012 W013 W014 W015 W016 W017 W018 W019 W020 W021 W022 W023
-64.0 -70 -89.0 -100.0 -100.0 -91.0 -100.0 -55 -89.0 -89.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -89.0 -100.0 -100.0 -89.0 -100.0 -89.0
-64.0 -70 -89.0 -100.0 -100.0 -91.0 -100.0 -55 -89.0 -89.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -89.0 -100.0 -100.0 -89.0 -100.0 -89.0
-64.0 -70 -89.0 -100.0 -100.0 -91.0 -100.0 -55 -89.0 -89.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -89.0 -100.0 -100.0 -89.0 -100.0 -89.0
-65.0 -65 -89.0 -100.0 -100.0 -91.0 -100.0 -40 -89.0 -89.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -100.0 -89.0 -100.0 -100.0
-65.0 -65 -89.0 -100.0 -100.0 -91.0 -100.0 -40 -89.0 -89.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -100.0 -89.0 -100.0 -100.0
-65.0 -65 -89.0 -100.0 -100.0 -91.0 -100.0 -40 -89.0 -89.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -100.0 -89.0 -100.0 -100.0
-65.0 -65 -89.0 -100.0 -100.0 -91.0 -100.0 -40 -89.0 -89.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -100.0 -89.0 -100.0 -100.0
-64.0 -63 -89.0 -100.0 -100.0 -91.0 -100.0 -43 -90.0 -89.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -91.0 -100.0 -100.0 -89.0 -100.0 -100.0
-64.0 -63 -89.0 -100.0 -100.0 -91.0 -100.0 -43 -90.0 -89.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -91.0 -100.0 -100.0 -89.0 -100.0 -100.0
-64.0 -63 -89.0 -100.0 -100.0 -91.0 -100.0 -43 -90.0 -89.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -91.0 -100.0 -100.0 -89.0 -100.0 -100.0
-71.0 -59 -87.0 -100.0 -100.0 -100.0 -89.0 -36 -90.0 -88.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -91.0 -87.0 -100.0 -89.0 -100.0 -100.0
-71.0 -59 -87.0 -100.0 -100.0 -100.0 -89.0 -36 -90.0 -88.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -91.0 -87.0 -100.0 -89.0 -100.0 -100.0
-71.0 -61 -85.0 -100.0 -100.0 -100.0 -89.0 -32 -90.0 -88.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -91.0 -85.0 -100.0 -81.0 -100.0 -100.0
-71.0 -61 -85.0 -100.0 -100.0 -100.0 -89.0 -32 -90.0 -88.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -91.0 -85.0 -100.0 -81.0 -100.0 -100.0
-71.0 -59 -85.0 -100.0 -100.0 -100.0 -90.0 -47 -90.0 -89.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -91.0 -85.0 -100.0 -81.0 -100.0 -100.0
-71.0 -59 -85.0 -100.0 -100.0 -100.0 -90.0 -47 -90.0 -89.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -91.0 -85.0 -100.0 -81.0 -100.0 -100.0
-71.0 -59 -85.0 -100.0 -100.0 -100.0 -90.0 -47 -90.0 -89.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -91.0 -85.0 -100.0 -81.0 -100.0 -100.0
-65.0 -48 -85.0 -100.0 -100.0 -100.0 -90.0 -47 -87.0 -89.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -85.0 -100.0 -88.0 -100.0 -100.0
-65.0 -48 -85.0 -100.0 -100.0 -100.0 -90.0 -47 -87.0 -89.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -85.0 -100.0 -88.0 -100.0 -100.0
-65.0 -57 -84.0 -100.0 -100.0 -100.0 -90.0 -51 -86.0 -88.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -85.0 -100.0 -88.0 -100.0 -100.0
-65.0 -57 -84.0 -100.0 -100.0 -100.0 -90.0 -51 -86.0 -88.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -85.0 -100.0 -88.0 -100.0 -100.0
-65.0 -57 -84.0 -100.0 -100.0 -100.0 -90.0 -51 -86.0 -88.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -85.0 -100.0 -88.0 -100.0 -100.0
-61.0 -64 -84.0 -100.0 -88.0 -88.0 -90.0 -47 -86.0 -90.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -85.0 -100.0 -88.0 -100.0 -100.0
-61.0 -64 -84.0 -100.0 -88.0 -88.0 -90.0 -47 -86.0 -90.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -85.0 -100.0 -88.0 -100.0 -100.0
-61.0 -64 -84.0 -100.0 -88.0 -88.0 -90.0 -47 -86.0 -90.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -85.0 -100.0 -88.0 -100.0 -100.0
-68.0 -67 -84.0 -100.0 -90.0 -88.0 -90.0 -41 -86.0 -90.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -88.0 -100.0 -100.0
-62.0 -67 -84.0 -100.0 -90.0 -88.0 -100.0 -43 -86.0 -90.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -91.0 -100.0 -89.0 -100.0 -88.0 -100.0 -100.0
-62.0 -67 -84.0 -100.0 -90.0 -88.0 -100.0 -43 -86.0 -90.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -91.0 -100.0 -89.0 -100.0 -88.0 -100.0 -100.0
-68.0 -63 -89.0 -100.0 -90.0 -88.0 -100.0 -43 -86.0 -90.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -91.0 -100.0 -88.0 -100.0 -84.0 -100.0 -100.0
-80.0 -61 -84.0 -100.0 -90.0 -88.0 -100.0 -39 -100.0 -87.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -88.0 -100.0 -89.0 -100.0 -100.0
-66.0 -64 -85.0 -100.0 -92.0 -100.0 -100.0 -46 -100.0 -89.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -88.0 -100.0 -89.0 -100.0 -91.0
-66.0 -64 -85.0 -100.0 -92.0 -100.0 -100.0 -46 -100.0 -89.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -88.0 -100.0 -89.0 -100.0 -91.0
-64.0 -63 -85.0 -100.0 -92.0 -87.0 -100.0 -51 -100.0 -87.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -88.0 -100.0 -89.0 -100.0 -91.0
-64.0 -63 -85.0 -100.0 -92.0 -87.0 -100.0 -51 -100.0 -87.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -88.0 -100.0 -89.0 -100.0 -91.0
-64.0 -63 -85.0 -100.0 -92.0 -87.0 -100.0 -51 -100.0 -87.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -88.0 -100.0 -89.0 -100.0 -91.0
-76.0 -60 -87.0 -100.0 -92.0 -87.0 -100.0 -42 -100.0 -87.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -88.0 -100.0 -89.0 -100.0 -91.0
-76.0 -60 -87.0 -100.0 -92.0 -87.0 -100.0 -42 -100.0 -87.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -88.0 -100.0 -89.0 -100.0 -91.0
-76.0 -60 -87.0 -100.0 -92.0 -87.0 -100.0 -42 -100.0 -87.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -88.0 -100.0 -89.0 -100.0 -91.0
-63.0 -63 -82.0 -100.0 -92.0 -87.0 -90.0 -55 -88.0 -87.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -88.0 -100.0 -85.0 -100.0 -91.0
-63.0 -63 -82.0 -100.0 -92.0 -87.0 -90.0 -55 -88.0 -87.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -88.0 -100.0 -85.0 -100.0 -91.0
-63.0 -63 -82.0 -100.0 -92.0 -87.0 -90.0 -55 -88.0 -87.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -88.0 -100.0 -85.0 -100.0 -91.0
-65.0 -63 -79.0 -100.0 -92.0 -86.0 -90.0 -45 -88.0 -87.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -88.0 -100.0 -85.0 -100.0 -91.0
-65.0 -63 -79.0 -100.0 -92.0 -86.0 -90.0 -45 -88.0 -87.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -88.0 -100.0 -85.0 -100.0 -91.0
-65.0 -63 -79.0 -100.0 -92.0 -86.0 -90.0 -45 -88.0 -87.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -88.0 -100.0 -85.0 -100.0 -91.0
-67.0 -64 -86.0 -100.0 -100.0 -86.0 -90.0 -44 -88.0 -91.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -88.0 -100.0 -85.0 -100.0 -100.0
-67.0 -64 -86.0 -100.0 -100.0 -86.0 -90.0 -44 -88.0 -91.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -88.0 -100.0 -85.0 -100.0 -100.0
-67.0 -64 -86.0 -100.0 -100.0 -86.0 -90.0 -44 -88.0 -91.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -88.0 -100.0 -85.0 -100.0 -100.0
-68.0 -61 -89.0 -100.0 -100.0 -86.0 -90.0 -40 -88.0 -91.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -88.0 -100.0 -85.0 -100.0 -100.0
-68.0 -61 -89.0 -100.0 -100.0 -86.0 -90.0 -40 -88.0 -91.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -88.0 -100.0 -85.0 -100.0 -100.0
-68.0 -61 -89.0 -100.0 -100.0 -86.0 -90.0 -40 -88.0 -91.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -88.0 -100.0 -85.0 -100.0 -100.0
-73.0 -67 -87.0 -100.0 -100.0 -86.0 -90.0 -34 -88.0 -91.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -88.0 -100.0 -85.0 -100.0 -83.0
-73.0 -67 -87.0 -100.0 -100.0 -86.0 -90.0 -34 -88.0 -91.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -88.0 -100.0 -85.0 -100.0 -83.0
-73.0 -57 -84.0 -100.0 -100.0 -86.0 -100.0 -40 -90.0 -90.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -88.0 -100.0 -82.0 -100.0 -83.0
-73.0 -57 -84.0 -100.0 -100.0 -86.0 -100.0 -40 -90.0 -90.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -88.0 -100.0 -82.0 -100.0 -83.0
-73.0 -57 -84.0 -100.0 -100.0 -86.0 -100.0 -40 -90.0 -90.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -88.0 -100.0 -82.0 -100.0 -83.0
-69.0 -61 -90.0 -100.0 -100.0 -100.0 -100.0 -42 -90.0 -88.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -88.0 -100.0 -82.0 -100.0 -83.0
-69.0 -61 -90.0 -100.0 -100.0 -100.0 -100.0 -42 -90.0 -88.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -88.0 -100.0 -82.0 -100.0 -83.0
-69.0 -61 -90.0 -100.0 -100.0 -100.0 -100.0 -42 -90.0 -88.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -88.0 -100.0 -82.0 -100.0 -83.0
-64.0 -57 -90.0 -100.0 -92.0 -100.0 -100.0 -51 -90.0 -89.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -88.0 -100.0 -82.0 -100.0 -83.0
-64.0 -57 -90.0 -100.0 -92.0 -100.0 -100.0 -51 -90.0 -89.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -88.0 -100.0 -82.0 -100.0 -83.0
-71.0 -56 -84.0 -100.0 -90.0 -87.0 -100.0 -41 -90.0 -90.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -82.0 -100.0 -89.0
-71.0 -56 -84.0 -100.0 -90.0 -87.0 -100.0 -41 -90.0 -90.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -82.0 -100.0 -89.0
-65.0 -57 -84.0 -100.0 -90.0 -87.0 -100.0 -44 -90.0 -86.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -100.0 -100.0 -89.0 -100.0 -88.0
-65.0 -57 -84.0 -100.0 -90.0 -87.0 -100.0 -44 -90.0 -86.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -100.0 -100.0 -89.0 -100.0 -88.0
-65.0 -57 -84.0 -100.0 -90.0 -87.0 -100.0 -44 -90.0 -86.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -100.0 -100.0 -89.0 -100.0 -88.0
-64.0 -67 -89.0 -100.0 -90.0 -87.0 -100.0 -43 -100.0 -86.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -100.0 -100.0 -81.0 -100.0 -88.0
-64.0 -67 -89.0 -100.0 -90.0 -87.0 -100.0 -43 -100.0 -86.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -100.0 -100.0 -81.0 -100.0 -88.0
-64.0 -67 -89.0 -100.0 -90.0 -87.0 -100.0 -43 -100.0 -86.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -100.0 -100.0 -81.0 -100.0 -88.0
-65.0 -69 -89.0 -100.0 -90.0 -87.0 -100.0 -49 -100.0 -86.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -100.0 -100.0 -84.0 -100.0 -88.0
-65.0 -69 -89.0 -100.0 -90.0 -87.0 -100.0 -49 -100.0 -86.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -100.0 -100.0 -84.0 -100.0 -88.0
-70.0 -62 -89.0 -100.0 -90.0 -87.0 -100.0 -33 -93.0 -86.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -86.0 -100.0 -100.0 -100.0 -89.0 -100.0 -88.0
-70.0 -62 -89.0 -100.0 -90.0 -87.0 -100.0 -33 -93.0 -86.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -86.0 -100.0 -100.0 -100.0 -89.0 -100.0 -88.0
-75.0 -60 -89.0 -100.0 -100.0 -87.0 -100.0 -33 -93.0 -88.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -86.0 -100.0 -86.0 -100.0 -89.0 -100.0 -88.0
-75.0 -60 -89.0 -100.0 -100.0 -87.0 -100.0 -33 -93.0 -88.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -86.0 -100.0 -86.0 -100.0 -89.0 -100.0 -88.0
-75.0 -60 -89.0 -100.0 -100.0 -87.0 -100.0 -33 -93.0 -88.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -86.0 -100.0 -86.0 -100.0 -89.0 -100.0 -88.0
-71.0 -59 -89.0 -100.0 -100.0 -87.0 -100.0 -39 -90.0 -89.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -86.0 -100.0 -86.0 -90.0 -89.0 -100.0 -100.0
-71.0 -59 -89.0 -100.0 -100.0 -87.0 -100.0 -39 -90.0 -89.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -86.0 -100.0 -86.0 -90.0 -89.0 -100.0 -100.0
-71.0 -59 -89.0 -100.0 -100.0 -87.0 -100.0 -39 -90.0 -89.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -86.0 -100.0 -86.0 -90.0 -89.0 -100.0 -100.0
-69.0 -62 -78.0 -100.0 -100.0 -100.0 -100.0 -42 -90.0 -91.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -86.0 -90.0 -89.0 -100.0 -100.0
-69.0 -62 -78.0 -100.0 -100.0 -100.0 -100.0 -42 -90.0 -91.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -86.0 -90.0 -89.0 -100.0 -100.0
-69.0 -62 -78.0 -100.0 -100.0 -100.0 -100.0 -42 -90.0 -91.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -86.0 -90.0 -89.0 -100.0 -100.0
-68.0 -58 -83.0 -100.0 -91.0 -88.0 -100.0 -36 -90.0 -90.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -86.0 -90.0 -89.0 -100.0 -90.0
-68.0 -58 -83.0 -100.0 -91.0 -88.0 -100.0 -36 -90.0 -90.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -86.0 -90.0 -89.0 -100.0 -90.0
-67.0 -66 -87.0 -100.0 -91.0 -88.0 -100.0 -34 -90.0 -91.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -86.0 -90.0 -82.0 -100.0 -90.0
-67.0 -66 -87.0 -100.0 -91.0 -88.0 -100.0 -34 -90.0 -91.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -86.0 -90.0 -82.0 -100.0 -90.0
-67.0 -66 -87.0 -100.0 -91.0 -88.0 -100.0 -34 -90.0 -91.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -86.0 -90.0 -82.0 -100.0 -90.0
